al,Alabama ,9,813479,1266546,6788,4991,4310,,3705,-21.58
ak,Alaska ,3,123594,193841,3783,1589,1660,,1730,-21.54
az,Arizona ,10,1034707,1230111,11301,12555,1371,3406,24,-8.48
ar,Arkansas ,6,422310,638017,12882,4776,4023,3470,1139,-19.85
ca,California ,55,8274473,5011781,108381,67582,3145,38774,57764,24.03
co,Colorado ,9,1288576,1073589,13350,10897,6233,2822,5894,8.95
ct,Connecticut ,7,997772,629428,19162,,311,90,29,22.37
de,Delaware ,3,255459,152374,2401,1109,626,385,58,24.98
dc,District of Columbia ,3,245800,17367,958,,,590,1138,85.92
fl,Florida ,27,4282074,4045624,28124,17218,7915,2887,6902,2.81
ga,Georgia ,15,1844123,2048759,1158,28731,1402,250,63,-5.2
hi,Hawaii ,4,325871,120566,3825,1314,1013,979,,45.26
id,Idaho ,4,236440,403012,7175,3658,4747,,,-25.3
il,Illinois ,21,3419348,2031179,30948,19642,8256,11838,1160,25.11
in,Indiana ,11,1374039,1345648,909,29257,1024,87,90,1.03
ia,Iowa ,7,828940,682379,8014,4590,4445,1423,7332,9.53
ks,Kansas ,6,514765,699655,10527,6706,4148,35,36,-14.92
ky,Kentucky ,8,751985,1048462,15378,5989,4694,,,-16.22
la,Louisiana ,9,782989,1148275,6997,,2581,9187,10732,-18.63
me,Maine ,2,421923,295273,10636,251,177,2900,431,17.32
md,Maryland ,10,1629467,959862,14713,9842,3760,4747,9205,25.44
ma,Massachusetts ,12,1904097,1108854,28841,13189,4971,6550,14483,25.81
mi,Michigan ,17,2872579,2048639,33085,23716,14685,8892,170,16.44
mn,Minnesota ,10,1573354,1275409,30152,9174,6787,5174,10319,10.24
ms,Mississippi ,6,554662,724597,4011,2529,2551,1034,481,-13.17
mo,Missouri ,11,1441911,1445814,17813,11386,8201,80,,-0.13
mt,Montana ,3,231667,242763,3686,1355,143,23,10638,-2.38
ne,Nebraska ,2,333319,452979,5406,2740,2972,1028,2837,-14.93
nv,Nevada ,5,533736,412827,6150,4263,3194,1411,6267,12.49
nh,New Hampshire ,4,384826,316534,3503,2217,226,40,3624,9.61
nj,New Jersey ,15,2215422,1613207,21298,8441,3956,3636,2277,15.53
nm,New Mexico ,5,472422,346832,5327,2428,1597,1552,,15.13
ny,New York ,31,4804701,2752728,41248,19595,634,12801,8936,26.86
nc,North Carolina ,15,2142651,2128474,1448,25722,,158,13942,0.33
nd,North Dakota ,3,141278,168601,4189,1354,1199,,,-8.65
oh,Ohio ,20,2940044,2677820,42337,19917,12565,8518,7149,4.58
ok,Oklahoma ,7,502496,960165,,,,,,-31.29
or,Oregon ,7,1037291,738475,18614,7635,7693,4543,13613,16.35
pa,Pennsylvania ,21,3276363,2655885,42977,19912,1092,,,10.31
ri,Rhode Island ,4,296571,165391,4829,1382,675,797,122,27.81
sc,South Carolina ,8,862449,1034896,5053,7283,6827,4461,,-8.98
sd,South Dakota ,3,170924,203054,4267,1835,1895,,,-8.41
tn,Tennessee ,11,1087437,1479178,11560,8547,8191,2499,2337,-15.06
tx,Texas ,34,3528633,4479328,5440,56116,5395,831,2781,-11.76
ut,Utah ,5,327670,596030,8416,6966,12012,982,294,-28.02
vt,Vermont ,3,219262,98974,3339,1067,500,66,1904,37.01
va,Virginia ,13,1959532,1725005,11483,11067,7474,2344,6355,6.3
wa,Washington ,11,1750848,1229216,29489,12728,9432,3819,1346,17.08
wv,West Virginia ,5,303857,397466,7219,,2465,2355,89,-13.09
wi,Wisconsin ,10,1677211,1262393,17605,8858,5072,4216,8062,13.9
wy,Wyoming ,3,82868,164958,2525,1594,1192,,1521,-32.24
